id,value
id_0,26.148152322359405
id_1,59.82536839710134
id_2,18.76601801640099
id_3,27.742601421884842
id_4,8.14583688721448
id_5,33.47953527404139
id_6,37.8527016649581
id_7,13.410028032949697
id_8,44.79907638983771
id_9,32.34854808246029
id_10,36.74529930435608
id_11,57.013638650977626
id_12,34.82556463689356
id_13,38.44061542566538
id_14,26.457325228773946
id_15,10.09058380978853
id_16,50.19801822368643
id_17,21.50920653417091
id_18,17.32578601580006
id_19,18.337258459595045
id_20,14.16308390950177
id_21,25.289521186497556
id_22,36.46820331614855
id_23,9.250526765233564
id_24,55.4024093438925
id_25,42.139771611863516
id_26,26.89827867679383
id_27,7.595495553097763
id_28,29.109225262661354
id_29,34.27440832291836
id_30,17.41743820803321
id_31,10.929911164184702
id_32,15.152451960642304
id_33,7.35355102944045
id_34,16.636895174498846
id_35,36.426812115895636
id_36,18.307357879033262
id_37,25.908787238903983
id_38,4.7404178134738935
id_39,57.3919666169238
id_40,43.7988868215432
id_41,15.599544149016493
id_42,47.27315038224137
id_43,17.506857827036356
id_44,42.54119248917865
id_45,49.097940643560676
id_46,59.89072308323044
id_47,38.456675464726715
id_48,48.541306875116945
id_49,39.60255702363574
id_50,28.863617279379483
id_51,23.50465302097213
id_52,39.26326901943713
id_53,24.80371549588991
id_54,36.40138197721847
id_55,38.125210647484366
id_56,24.149126663249866
id_57,19.890845708191936
id_58,36.13439286772932
id_59,29.66945843473819
id_60,12.933189646877949
id_61,21.803965842519
id_62,28.908996529384204
id_63,52.74654736200732
id_64,47.94790675509025
id_65,24.820251337565413
id_66,40.08294669970556
id_67,51.857861766339624
id_68,26.94169042167593
id_69,37.502411968142006
id_70,62.165445613830016
id_71,51.08756070497978
id_72,42.26127107044119
id_73,9.57990976320427
id_74,11.76802219346307
id_75,35.7668369764655
id_76,59.09229527423092
id_77,1.39421445965402
id_78,44.240641126717605
id_79,39.32003918792312
id_80,6.425887327102199
id_81,20.036627393804203
id_82,5.786707348235053
id_83,32.39256170729499
id_84,8.995752273874741
id_85,3.6848698196752716
id_86,14.679528127904495
id_87,9.68846792070192
id_88,10.52585856081693
id_89,25.15698607761764
id_90,28.564769173602247
id_91,9.294564742215014
id_92,11.343124542845406
id_93,6.5917967380589975
id_94,34.01348494712457
id_95,13.908610625177243
id_96,14.77002135362009
id_97,7.188361212126838
id_98,9.916448911381853
id_99,2.5780177030746336
id_100,11.69980548173033
id_101,16.45313633916487
id_102,10.065981061295796
id_103,4.144590916900537
id_104,12.502661323659837
id_105,34.98002780888498
id_106,24.639697369913453
id_107,6.85578014086993
id_108,14.36893759611147
id_109,15.505689404278275
id_110,13.067296373922751
id_111,15.893430108464788
id_112,12.194539389510583
id_113,26.171074077599233
id_114,21.48559663683875
id_115,13.122807843734725
id_116,8.645256364288716
id_117,42.142645705663526
id_118,27.999861284116662
id_119,-0.10188889900828985
id_120,0.95926106237868
id_121,8.42176745424295
id_122,14.560631309353491
id_123,13.731030049039248
id_124,4.93096710707934
id_125,25.755098600182446
id_126,20.671353435680743
id_127,11.400616543727718
id_128,18.23348690886359
id_129,15.804406735877484
id_130,2.1636593798333017
id_131,34.58510070181896
id_132,13.036042069592247
id_133,26.306005241204147
id_134,22.145019437974973
id_135,20.133595252919232
id_136,9.404427597297108
id_137,18.09363941554094
id_138,75.10042148394781
id_139,61.59304574067963
id_140,26.71370664357643
id_141,16.716551530042995
id_142,24.289170006041484
id_143,6.9372084295916
id_144,11.292749959093271
id_145,8.238533796984324
id_146,20.280226599435586
id_147,6.285261030004858
id_148,11.55311123841767
id_149,16.065890337222537
id_150,49.26396880550597
id_151,18.725494136389084
id_152,22.58182058736771
id_153,14.283309835487326
id_154,13.31384001582314
id_155,25.40250393849182
id_156,18.941917108706
id_157,31.702434014633152
id_158,1.7573132172392683
id_159,17.860921769316505
id_160,41.729023486005744
id_161,17.383462128032225
id_162,52.28081043399523
id_163,18.812037921278595
id_164,36.10574669135239
id_165,24.127318513389856
id_166,19.275784020423426
id_167,0.5767019390052297
id_168,64.85222408312745
id_169,15.930355877906056
id_170,16.770719025072513
id_171,66.17011963236874
id_172,19.189984502113486
id_173,1.8170159041010527
id_174,21.718594515966107
id_175,0.9260276159146837
id_176,6.001955476906202
id_177,17.658391485710048
id_178,19.318230125063486
id_179,18.715164765944174
id_180,41.01415958930529
id_181,26.000475854279397
id_182,27.27274038168102
id_183,10.861802370484373
id_184,7.339466343143529
id_185,39.96647447072206
id_186,36.21439232399901
id_187,31.93122186857125
id_188,14.244872134694491
id_189,20.4706572943988
id_190,13.91075986326534
id_191,12.976673155431348
id_192,31.52860089562975
id_193,77.09174702517089
id_194,28.431257544746323
id_195,10.982565217015516
id_196,58.30559886533051
id_197,15.2941301629757
id_198,17.39467276506039
id_199,21.414090274287286
id_200,122.50914894627104
id_201,24.986098099746133
id_202,57.76064979887461
id_203,3.2721451946239943
id_204,58.52301510640096
id_205,33.414505802678946
id_206,16.815046314200764
id_207,13.714462529447069
id_208,61.5655384042079
id_209,12.018038181093125
id_210,30.698804744807628
id_211,69.47256634195641
id_212,18.993709601938242
id_213,116.06090241297935
id_214,38.35873765121628
id_215,78.6762891260993
id_216,90.46008790822435
id_217,67.01857752419741
id_218,27.946801097466224
id_219,19.32274660169754
id_220,28.442233492388304
id_221,50.98148058164288
id_222,26.495357448780045
id_223,37.97451471200505
id_224,42.90593856593753
id_225,7.215925034644562
id_226,3.9981758686126634
id_227,67.66828395119772
id_228,25.951347050366447
id_229,0.5232598879542122
id_230,35.21639620314214
